uid,title,url,difficulty,duration,highest_altitude,suitable_for,basecamp,faq_count,quick_itinerary_days,day_wise_days,similar_trek_count,last_publication_date
bhrigu-lake,Bhrigu Lake Trek,https://indiahikes.com/bhrigu-lake,Moderate,4 days/21.5 km,"14,009 ft",11 years and above,"Palchan, Beas Bridge, Manali",9,4,4,0,2026-06-16T05:22:13+0000
brahmatal-trek,Brahmatal Trek,https://indiahikes.com/brahmatal-trek,Easy Moderate,6 days / 22 km,"12,250 ft",8 years and above,"Lohajung, Uttarakhand",14,6,6,0,2026-06-16T05:25:12+0000
buran-ghati,Buran Ghati Trek,https://indiahikes.com/buran-ghati,Moderate-Difficult,8 days/40.5 km,"15,000 ft",12 to 62 years,"Janglik, Himachal Pradesh",14,8,8,0,2026-06-16T05:26:57+0000
chandrakhani-pass-trek,Chandrakhani Pass Trek,https://indiahikes.com/chandrakhani-pass-trek,Easy-Moderate,5 days/26 km,"12,185 ft",8 years and above,"Manali (Indiahikes Jungle Line Campus), Himachal Pradesh",7,5,5,0,2026-06-16T05:31:52+0000
dayara-bugyal-trek,Dayara Bugyal Trek,https://indiahikes.com/dayara-bugyal-trek,Easy Moderate,6 days / 21 kms,"11,830 ft",8 years and above,"Raithal, Uttarakhand",22,6,6,0,2026-06-16T05:08:21+0000
deoriatal-chandrashila-trek,Deoriatal Chandrashila Trek,https://indiahikes.com/deoriatal-chandrashila-trek,Moderate,6 days / 32 km,"12,083 ft",11 years and above,"Sari, Uttarakhand",15,6,6,0,2026-06-16T05:23:56+0000
gaumukh-tapovan,Gaumukh Tapovan Trek,https://indiahikes.com/gaumukh-tapovan,Moderate-Difficult,8 days / 41 km,"14,203 ft",12 to 62 years,"Gangotri, Uttarakhand",15,8,8,0,2026-06-16T05:27:55+0000
hampta-pass,Hampta Pass Trek,https://indiahikes.com/hampta-pass,Moderate,6 days/26 km,"14,065 ft",11 years and above,"Manali (Indiahikes Jungle Line Campus), Himachal Pradesh",12,6,6,0,2026-06-09T11:17:20+0000
kanamo-peak-trek,Kanamo Peak Trek,https://indiahikes.com/kanamo-peak-trek,Difficult,7 days / 22 km,"19,553 ft",15 to 55 years,"Indiahikes Jungle Line Campus, Manali, Himachal Pradesh",5,7,7,0,2026-06-16T05:40:39+0000
kedarkantha-trek,Kedarkantha Trek,https://indiahikes.com/kedarkantha-trek,Easy Moderate,6 days / 23 km,"12,500 feet",8 years and above,"Kotgaon/Gaichawan Gaon, Uttarakhand",9,6,6,0,2026-06-16T05:51:20+0000
kuari-pass,Kuari Pass Trek,https://indiahikes.com/kuari-pass,Moderate,6 days / 22 km,"12,516 ft",11 years and above,"Karchi / Dhak, Uttarakhand",15,6,6,0,2026-06-16T05:19:35+0000
nag-tibba,Nag Tibba Weekend Trek,https://indiahikes.com/nag-tibba,Moderate,2 days/14.5 km,9915 ft,11 years and above,"Pantwari, Uttarakhand",3,2,2,0,2026-06-06T06:28:18+0000
rupin-pass,Rupin Pass,https://indiahikes.com/rupin-pass,Moderate-Difficult,7 days/37 km,"15,279 ft",12 to 62 years,"Jiskun, Himachal Pradesh",7,7,7,0,2026-06-16T05:45:36+0000
sandakphu-phalut,Sandakphu Phalut Trek,https://indiahikes.com/sandakphu-phalut,Moderate,7 days / 68 kms,"11,930 ft",11 years and above,"Sepi, West Bengal",15,7,7,0,2026-06-16T05:48:00+0000
tarsar-marsar,Tarsar Marsar Trek,https://indiahikes.com/tarsar-marsar,Moderate,7 days / 47.6 km,"13,165 ft",11 to 62 years,Aru,12,7,7,0,2026-06-15T05:23:13+0000
valley-of-flowers-trek,Valley of Flowers,https://indiahikes.com/valley-of-flowers-trek,Moderate,6 days / 38 km,"14,107 ft",11 years and above,"Karchi, Uttarakhand",12,6,6,0,2026-06-16T05:49:37+0000
